ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
500,-0.5,13,26,10,-0.07688021550454094,-0.020595942517093957,-3.281831104708726,-0.07688021550454094,0.3867290860981071,85
252,-0.5,26,4,10,-0.3891801723186943,-0.1203591465132694,-3.2832478771599,-0.41442924514304424,3.4500168293503872,538
1000,-0.3,26,13,5,-0.1487417154577777,-0.0410289635369524,-3.294506364872199,-0.1487417154577777,1.381692573402418,167
252,-0.5,26,8,10,-0.22162092811172773,-0.06309960006564586,-3.3120043034325994,-0.2389850756605787,1.7247639796659404,292
252,-0.3,6,26,5,-0.11214140034366493,-0.030469082097059674,-3.3175574735954303,-0.11628366481973196,0.8655926905506132,135
1000,-0.5,26,4,5,-0.35695593902934386,-0.10851527083733459,-3.3299492806495663,-0.35695593902934386,2.9393753827311695,387
252,-0.3,13,8,5,-0.28108184020823757,-0.08226938198986444,-3.33858977488708,-0.2916845148828908,2.9690721649484537,386
500,-0.5,6,8,5,-0.2644331348703497,-0.07678721258393317,-3.3470835835444133,-0.2655040671062774,1.2528047868362004,244
1000,-0.3,6,8,10,-0.2065733837080196,-0.058421077987102055,-3.3578521135962083,-0.20739606815148381,2.1604938271604937,264
1000,-0.3,13,26,5,-0.08574853081162948,-0.023052445986737835,-3.359597567894517,-0.086873708776526,0.4681404421326397,88
500,-0.3,26,26,5,-0.10814015060381055,-0.029334296279229788,-3.372700376176584,-0.10917293452924104,0.5564572223510317,109
252,-0.3,6,8,5,-0.3144644971288172,-0.09355123442438162,-3.376796229665785,-0.3283676000874465,2.948453608247423,386
500,-0.5,6,26,10,-0.08612133370561981,-0.02315609698664034,-3.3816083790007605,-0.08730975171381516,0.36637492367189095,85
252,-0.5,26,13,10,-0.14945232994447166,-0.04123728569692531,-3.4111748974314056,-0.1584802620183734,1.2016021361815754,192
500,-0.3,26,13,5,-0.17632058386115534,-0.049210153762357156,-3.419384668466845,-0.17632058386115534,1.3686726048229414,204
1000,-0.3,13,13,10,-0.14346293976292146,-0.039485463509306595,-3.4414616060167784,-0.14346293976292146,1.1843079200592153,167
500,-0.3,6,26,5,-0.1042289312306407,-0.028228678462669854,-3.458661491424807,-0.10441505666962336,0.6260143751449108,109
252,-0.3,26,8,5,-0.29296313536236784,-0.08623942561091147,-3.477027197747769,-0.308139304294644,2.7628865979381443,386
1000,-0.3,6,26,10,-0.07886339779806895,-0.021143758920404876,-3.511923658962861,-0.08022889436614888,0.4681404421326397,88
1000,-0.3,13,26,10,-0.0835617968893757,-0.022445093601447197,-3.5237716811651314,-0.08390637011886815,0.5201560468140443,88
252,-0.3,26,26,5,-0.10929695711637066,-0.029661987950869495,-3.5282946425815886,-0.11541471292301864,0.7213272421255109,135
1000,-0.5,26,4,10,-0.3380994795499894,-0.10178706832048356,-3.538720410370419,-0.3380994795499894,2.857726066544193,387
1000,-0.3,13,4,10,-0.38730923135599826,-0.11965900799826945,-3.54849061736907,-0.39193559082511553,4.06450187762315,511
500,-0.5,13,4,10,-0.4044623753010589,-0.1261382589354676,-3.555783073292915,-0.4104333577171343,2.719886965736489,466
252,-0.3,13,4,10,-0.45419432676794136,-0.14573903901925278,-3.6012477014801023,-0.47680868419623934,4.986046511627907,727
500,-0.3,6,13,5,-0.19040502618931532,-0.05346667659711146,-3.605553374561847,-0.1946354599154171,1.3252226808603085,204
500,-0.5,6,13,10,-0.15491531340117537,-0.042843117251141316,-3.6274225456051017,-0.15745642806543048,0.6967292432746275,157
252,-0.3,13,26,5,-0.11674180745691443,-0.0317784792284852,-3.6338109133162333,-0.12041225223796193,0.6972830007213273,135
500,-0.3,13,8,5,-0.2710740369088708,-0.07896284487171934,-3.640133117840438,-0.27278492400678567,2.266583489290913,321
500,-0.3,26,8,5,-0.2661377527963371,-0.07734427322132797,-3.642377311848114,-0.2673951588138386,2.432938240798503,321
