ma_window,z_window,buy_threshold,short_threshold,hold_hours,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades,Win_Rate
50,100,0.7,0.85,8,20,0.07378602466332106,0.12021063158173603,0.005340789121680123,-0.1043335381220335,415,0.44819277108433736
100,100,0.7,0.95,8,10,0.06393751078345235,0.08532053391392432,0.036604897774289435,-0.15745445383950263,405,0.5037037037037037
100,100,0.5,0.95,8,10,0.06013254159131885,0.08100463401575486,0.035768667090857464,-0.16707317625904972,409,0.5061124694376528
50,100,0.6,0.95,8,20,0.05974028352741608,0.0779444310218761,-0.008274574333026363,-0.21925758653820704,412,0.49514563106796117
50,100,0.8,0.97,8,10,0.0446187978816896,0.05955854908142209,-0.02963535344821633,-0.22664150992231824,402,0.49502487562189057
100,100,0.6,0.97,8,10,0.03656377659831401,0.0493371038196644,0.02357823115380797,-0.18796992996289363,409,0.49877750611246946
100,100,0.7,0.9,8,10,0.028635360606717775,0.04580123318726047,0.006709270520797617,-0.12399817818989378,406,0.4802955665024631
50,200,0.7,0.92,8,20,0.023359502825371598,0.03057942749007965,-0.020710233393729904,-0.13394594208653654,400,0.5025
50,100,0.7,0.97,8,20,0.009633539784259713,0.012705589683073169,-0.02802144960751607,-0.24161087175884344,411,0.5109489051094891
100,100,0.7,0.92,8,10,0.008493230666119744,0.012116613692568935,-0.0020013205810730517,-0.11061691477173408,406,0.5024630541871922
100,100,0.5,0.9,8,10,-0.0053343467507914345,-0.008574856940694014,-0.0015528479606651269,-0.12857040514626283,409,0.4841075794621027
50,100,0.5,0.95,8,20,-0.01526734499331295,-0.01963613371297092,-0.032598844067432964,-0.18176858552115405,415,0.4987951807228916
50,100,0.9,0.97,8,20,-0.01649852685908964,-0.016258226334652914,-0.09387833697188308,-0.2640062314213978,327,0.48623853211009177
50,100,0.9,0.97,8,10,-0.030734355630680384,-0.0302902123499775,-0.10189527730354941,-0.26113855582264434,327,0.4923547400611621
100,100,0.5,0.92,8,10,-0.036803606808812624,-0.05253373028769019,-0.01431217986462563,-0.11793463875727694,409,0.5061124694376528
100,100,0.6,0.95,8,10,-0.03989508349340696,-0.05320471015636075,0.0011950070810529123,-0.16817582669036746,409,0.5012224938875306
50,100,0.6,0.97,8,20,-0.04565770313755218,-0.06043445216140663,-0.04538694664856757,-0.2442706876954538,412,0.4975728155339806
100,100,0.8,0.9,8,20,-0.04818729736670203,-0.08279756131112251,-0.019108274848378515,-0.16100695265570608,401,0.4389027431421446
50,100,0.6,0.9,8,20,-0.05596643082722429,-0.07821512215840348,-0.028787750165625514,-0.1574500856105847,413,0.46731234866828086
50,100,0.7,0.95,8,10,-0.05704280460240392,-0.07432033421775402,-0.05046671041670714,-0.2186245476652524,411,0.4793187347931874
50,100,0.8,0.92,8,20,-0.07777533833192164,-0.09467321389663692,-0.05256886840403996,-0.13946264010222642,405,0.48641975308641977
100,100,0.5,0.95,8,20,-0.09153429603098047,-0.12007220763199868,-0.013050330021583068,-0.17596228388836,409,0.4889975550122249
50,100,0.7,0.9,8,20,-0.09788529791909521,-0.13360484421015664,-0.03885193583908786,-0.15876019923261409,412,0.47815533980582525
50,100,0.9,0.95,8,20,-0.10599754630651283,-0.10628720131331655,-0.13376537493931895,-0.28027818961832907,338,0.46745562130177515
50,200,0.5,0.97,8,20,-0.10947935186328876,-0.1347794761348676,-0.06735677706527365,-0.19116744742947422,403,0.5062034739454094
50,100,0.5,0.97,8,20,-0.11154877554276203,-0.14547092205464884,-0.06647431762391842,-0.20503330893916183,415,0.5012048192771085
50,100,0.9,0.95,8,10,-0.11449258030397312,-0.11510658695054346,-0.13849411050998373,-0.28416729555389786,338,0.47041420118343197
100,100,0.6,0.9,8,10,-0.13156012742836581,-0.20957908754309026,-0.03207226479160674,-0.1287151855576123,409,0.4792176039119804
100,100,0.5,0.97,8,20,-0.14161902070954788,-0.1888317906154309,-0.03396797433989007,-0.19916870388733654,409,0.49144254278728605
50,100,0.5,0.85,8,20,-0.14869449687410746,-0.21799314170727452,-0.036639013188118574,-0.10664595674315469,416,0.46153846153846156
